grep;output
summary;Summary
landslide;Avalanche
landslides;Avalanche
landspout;Avalanche
landslump;Avalanche
wind;Cold/Wind Chill
warmth;Heat
hot;Heat
dry;Drought
below normal;Drought
driest;Drought
dryness;Drought
snow;Heavy Snow
snows;Heavy Snow
snowfall;Heavy Snow
blowing-snow;Heavy Snow
freeze;Frost/Freeze
cool;Frost/Freeze
frost;Frost/Freeze
cold;Frost/Freeze
glaze;Frost/Freeze
ice;Frost/Freeze
low temperature;Frost/Freeze
beach;Coastal Flood
devel;Dust Storm
flash;Flash Flood
flashflooding;Flash Flood
high tide;Storm Surge/Tide
blow-out;Storm Surge/Tide
windchill;Cold/Wind Chill
wind chill;Cold/Wind Chill
wind chills;Cold/Wind Chill
fire;Wildfire
fires;Wildfire
Coastal flooding;Coastal Flood
coastal flood;Coastal Flood
coastal erosion;Coastal Flood
cstl flooding;Coastal Flood
coastal storm;Marine Strong Wind
coastalstorm;Marine Strong Wind
precipitation;Heavy Rain
precipatation;Heavy Rain
precip;Heavy Rain
rainfall;Heavy Rain
shower;Heavy Rain
showers;Heavy Rain
rainstorm;Heavy Rain
fog;Dense Fog
gustnado;Tornado
surf;High Surf
high winds;High Wind
hurricane;Hurricane (Typhoon)
ligthing;Lightning
ligntning;Lightning
mudslide;Debris Flow
mudslides;Debris Flow
thunderstorm;Thunderstorm Wind
thunderstorms;Thunderstorm Wind
thundeerstorm;Thunderstorm Wind
thundersnow;Thunderstorm Wind
tstm;Thunderstorm Wind
tstmw;Thunderstorm Wind
small;Flood
urban;Flood
Volcanic;Volcanic Ash
water spout;Waterspout
wayterspout;Waterspout
wintery;Winter Weather
wintry;Winter Weather
